SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-17-2023,Single Family Residential,7920 49th Ave S,Seattle,WA,98118,595000,4.0,2.0,Rainier Valley,2480.0,5000.0,1959.0,,240.0,,Sold,,,https://www.redfin.com/WA/Seattle/7920-49th-Ave-S-98118/home/174486,NWMLS as Distributed by MLS Grid,2138665.0,N,Y,47.5309266,-122.2715001
PAST SALE,July-28-2023,Single Family Residential,5919 Wilson Ave S,Seattle,WA,98118,1000000,5.0,2.0,Seward Park,2610.0,7320.0,1952.0,,383.0,,Sold,,,https://www.redfin.com/WA/Seattle/5919-Wilson-Ave-S-98118/home/490475,NWMLS as Distributed by MLS Grid,2136847.0,N,Y,47.5491537,-122.2642236
PAST SALE,July-20-2023,Single Family Residential,5040 42nd Ave S,Seattle,WA,98118,1028000,4.0,2.0,Columbia City,2160.0,8237.0,1966.0,,476.0,,Sold,,,https://www.redfin.com/WA/Seattle/5040-42nd-Ave-S-98118/home/492114,NWMLS as Distributed by MLS Grid,2131974.0,N,Y,47.5557944,-122.2804836
PAST SALE,April-21-2023,Single Family Residential,5317 47th Ave S,Seattle,WA,98118,1105000,4.0,2.0,Columbia City,2662.0,4920.0,1909.0,,415.0,,Sold,,,https://www.redfin.com/WA/Seattle/5317-47th-Ave-S-98118/home/491259,NWMLS as Distributed by MLS Grid,2049868.0,N,Y,47.5539177,-122.2746269
PAST SALE,January-25-2023,Vacant Land,8125 48th Ave S,Seattle,WA,98118,194000,,,Dunlap,,3000.0,,,,,Sold,,,https://www.redfin.com/WA/Seattle/8123-48th-Ave-S-98118/home/174325,NWMLS as Distributed by MLS Grid,2025695.0,N,Y,47.5296011,-122.2729977
PAST SALE,August-10-2023,Single Family Residential,3827 42nd Ave S,Seattle,WA,98118,1417500,4.0,2.0,Mt Baker,2273.0,6120.0,1951.0,,624.0,,Sold,,,https://www.redfin.com/WA/Seattle/3827-42nd-Ave-S-98118/home/488657,NWMLS as Distributed by MLS Grid,2138094.0,N,Y,47.5689086,-122.2810637
PAST SALE,July-14-2023,Single Family Residential,9670 Waters Ave S,Seattle,WA,98118,1495000,4.0,3.5,Rainier Beach,3110.0,5170.0,2023.0,,481.0,,Sold,,,https://www.redfin.com/WA/Seattle/9670-Waters-Ave-S-98118/home/180338187,NWMLS as Distributed by MLS Grid,2127810.0,N,Y,47.5158207,-122.2566414
PAST SALE,,Single Family Residential,5306 S Fletcher St,Seattle,WA,98118,800000,4.0,3.0,,2430.0,5600.0,1947.0,,329.0,,,,,https://www.redfin.com/WA/Seattle/5306-S-Fletcher-St-98118/home/176265,,,N,Y,47.5192196,-122.2657669
PAST SALE,September-12-2023,Single Family Residential,4203 S Juneau St,Seattle,WA,98118,1050000,5.0,3.0,Hillman City,2200.0,4950.0,1909.0,,477.0,,Sold,,,https://www.redfin.com/WA/Seattle/4203-S-Juneau-St-98118/home/173565,NWMLS as Distributed by MLS Grid,2148337.0,N,Y,47.5495512,-122.2806269
PAST SALE,May-3-2023,Single Family Residential,9738 60th Ave S,Seattle,WA,98118,716000,4.0,2.0,Rainier Beach,1680.0,5650.0,1954.0,,426.0,,Sold,,,https://www.redfin.com/WA/Seattle/9738-60th-Ave-S-98118/home/176233,NWMLS as Distributed by MLS Grid,2053583.0,N,Y,47.51408,-122.2579735
PAST SALE,September-18-2023,Single Family Residential,7443 39th Ave S,Seattle,WA,98118,965000,5.0,3.5,Holly Park,2610.0,3634.0,2005.0,,370.0,79.0,Sold,,,https://www.redfin.com/WA/Seattle/7443-39th-Ave-S-98118/home/2087525,NWMLS as Distributed by MLS Grid,2143238.0,N,Y,47.5349008,-122.2838591
PAST SALE,June-15-2023,Single Family Residential,6907 Seward Park Ave S,Seattle,WA,98118,1450000,4.0,3.5,Seward Park,3310.0,4082.0,2015.0,,438.0,,Sold,,,https://www.redfin.com/WA/Seattle/6907-Seward-Park-Ave-S-98118/home/59703207,NWMLS as Distributed by MLS Grid,2068070.0,N,Y,47.5404104,-122.2667154
PAST SALE,July-3-2023,Single Family Residential,9031 46th Ave S,Seattle,WA,98118,770000,5.0,3.0,Dunlap,2380.0,8300.0,2003.0,,324.0,,Sold,,,https://www.redfin.com/WA/Seattle/9031-46th-Ave-S-98118/home/176300,NWMLS as Distributed by MLS Grid,2072604.0,N,Y,47.5223964,-122.2745791
PAST SALE,June-14-2023,Single Family Residential,7762 52nd Ave S,Seattle,WA,98118,780000,4.0,2.0,Seward Park,2340.0,6204.0,1955.0,,333.0,,Sold,,,https://www.redfin.com/WA/Seattle/7762-52nd-Ave-S-98118/home/174190,NWMLS as Distributed by MLS Grid,2063091.0,N,Y,47.5322121,-122.2679559
PAST SALE,,Single Family Residential,5075 Lake Washington Blvd S,Seattle,WA,98118,2695000,4.0,3.0,,3660.0,12776.0,1952.0,,736.0,,,,,https://www.redfin.com/WA/Seattle/5075-Lake-Washington-Blvd-S-98118/home/490286,,,N,Y,47.5549873,-122.26171
PAST SALE,July-26-2023,Single Family Residential,8318 39th Ave S,Seattle,WA,98118,717000,5.0,2.0,Beacon Hill,2280.0,7579.0,1922.0,,314.0,,Sold,,,https://www.redfin.com/WA/Seattle/8318-39th-Ave-S-98118/home/479775,NWMLS as Distributed by MLS Grid,2132412.0,N,Y,47.5286405,-122.2833852
PAST SALE,August-28-2023,Single Family Residential,7009 Seward Park Ave S,Seattle,WA,98118,1535000,4.0,2.5,Seward Park,3030.0,5013.0,2016.0,,507.0,,Sold,,,https://www.redfin.com/WA/Seattle/7009-Seward-Park-Ave-S-98118/home/69353955,NWMLS as Distributed by MLS Grid,2140891.0,N,Y,47.5395548,-122.2674332
PAST SALE,July-12-2023,Single Family Residential,4431 47th Ave S,Seattle,WA,98118,1351200,4.0,3.5,Columbia City,2640.0,5693.0,2003.0,,512.0,,Sold,,,https://www.redfin.com/WA/Seattle/4431-47th-Ave-S-98118/home/492227,NWMLS as Distributed by MLS Grid,2075306.0,N,Y,47.5631132,-122.274749
PAST SALE,June-29-2023,Single Family Residential,7719 39th Ave S,Seattle,WA,98118,900000,5.0,3.5,Holly Park,2820.0,3200.0,2006.0,,319.0,77.0,Sold,,,https://www.redfin.com/WA/Seattle/7719-39th-Ave-S-98118/home/2090492,NWMLS as Distributed by MLS Grid,2069923.0,N,Y,47.5329055,-122.2835461
PAST SALE,May-12-2023,Single Family Residential,7719 46th Ave S,Seattle,WA,98118,810000,5.0,2.0,Rainier Beach,2320.0,6750.0,1960.0,,349.0,,Sold,,,https://www.redfin.com/WA/Seattle/7719-46th-Ave-S-98118/home/174278,NWMLS as Distributed by MLS Grid,2055376.0,N,Y,47.5327409,-122.2756485
PAST SALE,,Single Family Residential,5207 S Hudson St,Seattle,WA,98118,1650000,4.0,3.0,,3050.0,14160.0,1940.0,,541.0,,,,,https://www.redfin.com/WA/Seattle/5207-S-Hudson-St-98118/home/490238,,,N,Y,47.5568483,-122.2676187
